Data Generated by Optosky
File Version;1.2
Name;s28_102_2601150947473 350mw 3000ms
Creator;admin
Description;
Created;1/15/2026 9:47:47 AM
Integration Time(ms);3000
Laser Power(mW);350
Average Number;5
Scan Mode;High Precision Scan
Scan Interval;100
Device Model;ATR25000
Pixel Num;2048
Device Sn;242320457XX
Pixel;Raman Shift;Raw;Dark;Dark Subtracted;BaseLine Subtracted
358;1118.2855;42365.2000;35452.0000;6913.2000;478.5411
359;1120.6855;46562.4000;39422.8000;7139.6000;724.8361
360;1123.0845;42218.2000;35699.6000;6518.6000;113.1789
361;1125.4825;46102.2000;39835.2000;6267.0000;0.0000
362;1127.8794;47602.4000;41299.4000;6303.0000;0.0000
363;1130.2754;51697.4000;46425.8000;5271.6000;0.0000
364;1132.6703;41971.2000;35516.6000;6454.6000;102.6571
365;1135.0643;42729.8000;36004.2000;6725.6000;362.4313
366;1137.4572;48179.6000;41308.0000;6871.6000;514.6592
367;1139.8491;44521.6000;37951.4000;6570.2000;219.5252
368;1142.2400;41603.8000;34706.0000;6897.8000;552.7342
369;1144.6299;43943.2000;37271.2000;6672.0000;331.9138
370;1147.0187;44109.8000;37427.8000;6682.0000;347.4832
371;1149.4066;41498.0000;34558.8000;6939.2000;610.8115
372;1151.7935;44742.6000;38089.8000;6652.8000;332.2012
373;1154.1793;44860.8000;38347.0000;6513.8000;197.3860
374;1156.5641;40370.2000;33741.8000;6628.4000;315.7028
375;1158.9480;44152.0000;37585.6000;6566.4000;256.8905
376;1161.3308;44279.2000;37736.4000;6542.8000;236.8884
377;1163.7126;44257.4000;37647.6000;6609.8000;307.2897
378;1166.0934;41856.6000;35272.0000;6584.6000;284.9582
379;1168.4732;41945.6000;35443.6000;6502.0000;206.4342
380;1170.8520;43839.4000;37316.0000;6523.4000;229.9895
381;1173.2298;43114.0000;36503.4000;6610.6000;319.4437
382;1175.6066;42792.4000;36267.2000;6525.2000;236.2283
383;1177.9824;40473.2000;33945.0000;6528.2000;239.6297
384;1180.3572;44469.8000;38085.6000;6384.2000;97.7381
385;1182.7309;46101.8000;39748.4000;6353.4000;68.0193
386;1185.1037;44518.0000;37873.6000;6644.4000;361.1136
387;1187.4755;43769.2000;37132.6000;6636.6000;354.6293
388;1189.8462;44525.2000;38213.2000;6312.0000;32.1662
389;1192.2160;48719.0000;42482.6000;6236.4000;0.0000
390;1194.5848;50954.2000;44479.2000;6475.0000;202.0063
391;1196.9525;43273.4000;36768.6000;6504.8000;237.0290
392;1199.3193;41099.6000;34712.6000;6387.0000;124.3403
393;1201.6850;40649.6000;34237.8000;6411.8000;154.1413
394;1204.0498;43610.4000;37052.4000;6558.0000;305.2306
395;1206.4135;43120.8000;36482.2000;6638.6000;390.5994
396;1208.7763;45010.0000;38482.8000;6527.2000;283.8423
397;1211.1380;45962.4000;39507.2000;6455.2000;216.3548
398;1213.4988;44523.4000;38267.6000;6255.8000;21.3181
399;1215.8585;43418.6000;36990.8000;6427.8000;197.5039
400;1218.2173;41312.4000;34845.0000;6467.4000;241.0841
401;1220.5751;43398.6000;36912.6000;6486.0000;263.4796
402;1222.9318;41007.8000;34327.4000;6680.4000;461.6182
403;1225.2876;41948.8000;35478.4000;6470.4000;253.7452
404;1227.6424;45860.6000;39476.6000;6384.0000;169.9629
405;1229.9961;43760.4000;37324.8000;6435.6000;211.8116
406;1232.3489;40728.8000;34080.4000;6648.4000;427.9348
407;1234.7007;40220.0000;33761.4000;6458.6000;241.6523
408;1237.0515;44190.6000;37897.6000;6293.0000;79.5544
409;1239.4013;46695.6000;40384.0000;6311.6000;101.6416
410;1241.7501;47558.8000;41297.0000;6261.8000;55.3225
411;1244.0979;45154.0000;38670.0000;6484.0000;281.0054
412;1246.4447;40455.2000;33992.4000;6462.8000;263.2841
413;1248.7905;42526.0000;36277.6000;6248.4000;52.3526
414;1251.1353;44614.0000;38171.4000;6442.6000;249.9919
415;1253.4791;44900.8000;38432.0000;6468.8000;279.6462
416;1255.8220;45657.2000;39111.6000;6545.6000;359.9223
417;1258.1638;40881.8000;34521.0000;6360.8000;178.6261
418;1260.5047;43953.0000;37756.0000;6197.0000;18.3550
419;1262.8445;42679.0000;36199.4000;6479.6000;304.5120
420;1265.1834;40389.2000;33814.0000;6575.2000;403.7044
421;1267.5213;40336.0000;33988.2000;6347.8000;179.9182
422;1269.8582;41587.8000;35040.4000;6547.4000;383.1775
423;1272.1941;44265.0000;37932.8000;6332.2000;171.6816
424;1274.5290;46210.2000;39609.6000;6600.6000;443.8320
